,ULB Name,Public Toilets,Community Toilets,She Toilets,ODF Declared Wards,ODF Non Declared Wards,Compost Yard Location & Extent (Acrs),Dry Resourse Collection Center (Yes/No),% of Door to Door Collection,Tractors,Autos,Tricycles,Pushcarts,Regular Workers,Out Sourced Workers,Government Hospitals,Private Hospitals,Urban Health Centres,Garbage generation/day (Mts),Garbage lifted/day (Mts),ULB code
32,Kollapur,2,3.419354839,3.419354839,20,0,5.03,NO,89,3,3,1,1,15,25,1,7,0,8,6,32
33,Korutla,2,3.419354839,1,31,0,0,YES,0,9,9,0,0,18,145,1,16,1,34,32,33
34,Kothagudem,3.419354839,0,3.419354839,32,1,0,YES,85,0,0,0,0,36,0,1,26,3,52,48,34
35,Madhira,3.419354839,3.419354839,3.419354839,20,0,0,NO,80,0,0,0,0,0,0,0,0,0,0,0,35
36,Mahabubabad,3.419354839,3.419354839,3.419354839,11,17,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,36
37,Mahabubnagar,3.419354839,3.419354839,3.419354839,41,0,25,YES,100,19,7,48,0,140,337,1,62,5,74,74,37
38,Mancherial,3,3.419354839,3.419354839,32,0,0,NO,85,28,12,6,0,68,273,1,123,1,50,46,38
39,Mandamarri,3.419354839,3.419354839,3.419354839,24,0,19.11,NO,40,4,1,0,3,6,43,1,5,1,23.5,20.08,39
40,Manuguru,1,3.419354839,3.419354839,20,3,7,YES,85,4,5,0,11,1,45,1,12,1,18.61,18.61,40
41,Medak,3.419354839,2,3.419354839,27,0,7.1,YES,98,8,0,0,0,44,52,1,25,1,29,27,41
42,Medchal,1,3.419354839,3.419354839,20,0,0,NO,85,3,0,22,0,4,98,2,12,0,25,25,42
43,Meerpet,3.419354839,1,1,20,0,0,YES,100,3,8,8,10,0,90,1,10,0,13.5,13.5,43
44,Metpally,3.419354839,3.419354839,3.419354839,24,0,10,YES,100,5,8,0,0,14,92,1,18,1,24,23,44
45,Miryalaguda,3,3.419354839,1,36,0,0,YES,0,0,0,0,0,33,267,0,0,0,0,0,45
46,Nagarkurnool,3.419354839,3.419354839,3.419354839,20,0,0,NO,75,3,0,14,0,7,66,1,6,1,8,6,46
47,Nalgonda,9,3.419354839,3.419354839,15,25,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,47
48,Narasmpet,1,1,3.419354839,20,0,0,NO,0,4,1,0,16,13,83,1,14,0,18.5,18.5,48
49,Narayanpet,3.419354839,3.419354839,3.419354839,23,0,8.39,NO,80,4,0,10,0,41,67,1,8,2,0,12,49
50,Nirmal,2,3.419354839,3.419354839,1,35,13.22,YES,95,7,19,0,0,32,177,2,22,2,60,58,50
51,Nizamabad,16,3.419354839,3.419354839,50,0,55,YES,78,15,30,15,25,225,381,0,0,7,188,0,51
52,Palwancha,4,3.419354839,3.419354839,13,11,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,52
53,Parakala,3.419354839,3.419354839,3.419354839,20,0,0,NO,85,3,0,0,17,8,54,1,25,0,7.5,0,53
54,Pedda Amberpet,3.419354839,1,3.419354839,20,0,0,NO,95,3,3,5,0,0,76,0,0,1,12.5,11.5,54
55,Peddapalli,2,3.419354839,3.419354839,20,0,0,NO,95,4,0,22,18,14,85,1,14,0,18,17,55
56,Peerzadiguda,1,1,1,20,0,10,YES,100,3,31,15,0,0,126,0,10,1,40,40,56
57,Ramagundam,3.419354839,3,3.419354839,50,0,2.5,YES,66.6,14,9,96,4,54,364,7,64,5,115,108,57
58,Sadasivpet,1,0,3.419354839,23,0,7.5,NO,95,2,6,0,0,27,74,1,6,0,21,19,58
59,Sangareddy,3.419354839,3.419354839,3.419354839,31,0,5.8,NO,81,15,1,0,0,44,135,3,27,2,42,39,59
60,Satupally,3.419354839,3.419354839,3.419354839,20,0,0,YES,95,5,3,14,0,7,78,1,20,0,0,0,60
61,Shadnagar,3.419354839,3.419354839,3.419354839,23,0,0,YES,100,6,4,0,18,7,115,1,15,1,22,22,61
62,Siddipet,2,3.419354839,1,34,0,11,YES,100,49,8,0,0,55,191,2,47,2,56.72,56.72,62
63,Sircilla,6,3.419354839,3.419354839,33,0,16.25,YES,100,18,6,0,0,38,175,1,10,0,37,35,63
64,Suryapet,5,3.419354839,3.419354839,34,0,28.23,YES,100,16,0,0,10,62,213,1,85,3,68,68,64
65,Tandur,2,1,3.419354839,15,16,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,65
66,Vemulavada,1,3.419354839,3.419354839,20,0,0,YES,80,0,0,0,0,0,0,0,0,0,0,0,66
67,Vikarabad,3,3.419354839,3.419354839,28,0,10.01,YES,95,3,11,0,0,23,105,3,17,0,25,25,67
68,Wanaparthy,3.419354839,3.419354839,3.419354839,13,13,0,NO,84,11,0,0,2,17,110,1,8,2,32,32,68
69,Warangal,1,3.419354839,3.419354839,0,58,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,69
70,Yellandu,3.419354839,3.419354839,3.419354839,22,2,5,NO,89,4,2,8,24,34,56,1,5,0,32,30,70
71,Zaheerabad,3.419354839,3.419354839,3.419354839,24,0,5,NO,95,3,4,15,0,34,99,1,13,0,32,32,71
